test_name                                      num_threads    ops_per_sec
-------------------------------------------  -------------  -------------
Insert.SingleIndex.Seq                                   1    4753.36
Insert.SingleIndex.Seq                                   2    8942.5
Insert.SingleIndex.Seq                                   4   14703.1
Insert.SingleIndex.Uncontested.Rnd                       1    4725.98
Insert.SingleIndex.Uncontested.Rnd                       2    7173.22
Insert.SingleIndex.Uncontested.Rnd                       4   13987
Insert.SingleIndex.Contested.Rnd                         1    4826.6
Insert.SingleIndex.Contested.Rnd                         2    8672.93
Insert.SingleIndex.Contested.Rnd                         4   13413
Insert.MultiIndex.Uncontested.Rnd                        1    4219.18
Insert.MultiIndex.Uncontested.Rnd                        2    7636.55
Insert.MultiIndex.Uncontested.Rnd                        4   11866.4
Insert.MultiIndex.Contested.Rnd                          1    4398.43
Insert.MultiIndex.Contested.Rnd                          2    7784.34
Insert.MultiIndex.Contested.Rnd                          4   12511.1
Insert.MultiKeyIndex.Uncontested.Rnd                     1    4356.8
Insert.MultiKeyIndex.Uncontested.Rnd                     2    7797.82
Insert.MultiKeyIndex.Uncontested.Rnd                     4   11987.9
Insert.MultiKeyIndex.Contested.Rnd                       1    4601.91
Insert.MultiKeyIndex.Contested.Rnd                       2    7756.39
Insert.MultiKeyIndex.Contested.Rnd                       4   12426.8
Insert.BigKeyIndex                                       1    1024.03
Insert.BigKeyIndex                                       2    1187.87
Insert.BigKeyIndex                                       4    1104.45
Update.SetWithIndex.Random                               1    3562.89
Update.SetWithIndex.Random                               2    6701.32
Update.SetWithIndex.Random                               4   10700.6
Update.SetWithMultiIndex.Random                          1    3469.24
Update.SetWithMultiIndex.Random                          2    6292.77
Update.SetWithMultiIndex.Random                          4    9339.37
Update.SetWithMultiIndex.String                          1    3123.4
Update.SetWithMultiIndex.String                          2    5379.97
Update.SetWithMultiIndex.String                          4    7845.82
Insert.DocValidation.OneInt.Compare                      1    5439.74
Insert.DocValidation.OneInt.Compare                      2    9673.6
Insert.DocValidation.OneInt.Compare                      4   16610.3
Insert.DocValidation.OneInt                              1    5410.97
Insert.DocValidation.OneInt                              2    9734.92
Insert.DocValidation.OneInt                              4   16150
Insert.DocValidation.OneInt.JSONSchema                   1    4370.11
Insert.DocValidation.OneInt.JSONSchema                   2    9678.03
Insert.DocValidation.OneInt.JSONSchema                   4   16447.4
Insert.DocValidation.TenInt.Compare                      1    4895.01
Insert.DocValidation.TenInt.Compare                      2    8061.67
Insert.DocValidation.TenInt.Compare                      4   15228.5
Insert.DocValidation.TenInt                              1    4960.57
Insert.DocValidation.TenInt                              2    9343.3
Insert.DocValidation.TenInt                              4   15248.1
Insert.DocValidation.TwentyInt.Compare                   1    4936.9
