test_name                                      num_threads    ops_per_sec
-------------------------------------------  -------------  -------------
Insert.SingleIndex.Seq                                   1    1836.97
Insert.SingleIndex.Seq                                   2    3388.16
Insert.SingleIndex.Seq                                   4    5681.27
Insert.SingleIndex.Uncontested.Rnd                       1    1765.95
Insert.SingleIndex.Uncontested.Rnd                       2    3378.96
Insert.SingleIndex.Uncontested.Rnd                       4    5869.53
Insert.SingleIndex.Contested.Rnd                         1    1738.27
Insert.SingleIndex.Contested.Rnd                         2    2916.99
Insert.SingleIndex.Contested.Rnd                         4    5985.44
Insert.MultiIndex.Uncontested.Rnd                        1    1486.86
Insert.MultiIndex.Uncontested.Rnd                        2    3148.74
Insert.MultiIndex.Uncontested.Rnd                        4    5553.74
Insert.MultiIndex.Contested.Rnd                          1    1568.17
Insert.MultiIndex.Contested.Rnd                          2    2880.28
Insert.MultiIndex.Contested.Rnd                          4    5213.84
Insert.MultiKeyIndex.Uncontested.Rnd                     1    1580.49
Insert.MultiKeyIndex.Uncontested.Rnd                     2    2854.97
Insert.MultiKeyIndex.Uncontested.Rnd                     4    4846.7
Insert.MultiKeyIndex.Contested.Rnd                       1    1529.89
Insert.MultiKeyIndex.Contested.Rnd                       2    3014.78
Insert.MultiKeyIndex.Contested.Rnd                       4    5429.81
Insert.BigKeyIndex                                       1     420.31
Insert.BigKeyIndex                                       2     825.336
Insert.BigKeyIndex                                       4    1057.1
Update.SetWithIndex.Random                               1    1532.48
Update.SetWithIndex.Random                               2    3074.47
Update.SetWithIndex.Random                               4    5199.99
Update.SetWithMultiIndex.Random                          1    1483.91
Update.SetWithMultiIndex.Random                          2    2494.31
Update.SetWithMultiIndex.Random                          4    4670.13
Update.SetWithMultiIndex.String                          1    1133.37
Update.SetWithMultiIndex.String                          2    2550.68
Update.SetWithMultiIndex.String                          4    3925.03
Insert.DocValidation.OneInt.Compare                      1    1784.03
Insert.DocValidation.OneInt.Compare                      2    3357.58
Insert.DocValidation.OneInt.Compare                      4    6401.61
Insert.DocValidation.OneInt                              1    1689.86
Insert.DocValidation.OneInt                              2    3484.21
Insert.DocValidation.OneInt                              4    6172.83
Insert.DocValidation.OneInt.JSONSchema                   1    1683.79
Insert.DocValidation.OneInt.JSONSchema                   2    3446.63
Insert.DocValidation.OneInt.JSONSchema                   4    6143.26
Insert.DocValidation.TenInt.Compare                      1    1630.93
Insert.DocValidation.TenInt.Compare                      2    3262.7
Insert.DocValidation.TenInt.Compare                      4    5488.33
Insert.DocValidation.TenInt                              1    1700.95
Insert.DocValidation.TenInt                              2    3322.07
Insert.DocValidation.TenInt                              4    5580.41
Insert.DocValidation.TwentyInt.Compare                   1    1695.73
Insert.DocValidation.TwentyInt.Compare                   2    3169.35
Insert.DocValidation.TwentyInt.Compare                   4    5278.01
Insert.DocValidation.TwentyInt                           1    1304.11
Insert.DocValidation.TwentyInt                           2    2573.89
Insert.DocValidation.TwentyInt                           4    4829.33
Insert.DocValidation.TwentyInt.JSONSchema                1    1490.47
Insert.DocValidation.TwentyInt.JSONSchema                2    3170.06
Insert.DocValidation.TwentyInt.JSONSchema                4    5555.27
Insert.DocValidation.OneFiftyInt.Compare                 1    1282.45
Insert.DocValidation.OneFiftyInt.Compare                 2    2240.49
Insert.DocValidation.OneFiftyInt.Compare                 4    3670.31
Insert.DocValidation.OneFiftyInt                         1     794.278
Insert.DocValidation.OneFiftyInt                         2    1615.01
Insert.DocValidation.OneFiftyInt                         4    2774.79
Insert.DocValidation.OneFiftyInt.JSONSchema              1     721.233
Insert.DocValidation.OneFiftyInt.JSONSchema              2    1406.03
Insert.DocValidation.OneFiftyInt.JSONSchema              4    2194.41
Insert.DocValidation.Variety.Compare                     1    1419.9
Insert.DocValidation.Variety.Compare                     2    3304.59
Insert.DocValidation.Variety.Compare                     4    5397.81
Insert.DocValidation.Variety.JSONSchema                  1    1581.9
Insert.DocValidation.Variety.JSONSchema                  2    3187
Insert.DocValidation.Variety.JSONSchema                  4    5172.61
Insert.DocValidation.Array.Compare                       1    1580.53
Insert.DocValidation.Array.Compare                       2    2948.75
Insert.DocValidation.Array.Compare                       4    4794.48
Insert.DocValidation.Array.JSONSchema                    1    1287.64
Insert.DocValidation.Array.JSONSchema                    2    2224.54
Insert.DocValidation.Array.JSONSchema                    4    4041.92
Insert.DocValidation.Nested.Compare                      1    1732.4
Insert.DocValidation.Nested.Compare                      2    3271.34
Insert.DocValidation.Nested.Compare                      4    5741.88
Insert.DocValidation.Nested.JSONSchema                   1    1490.06
Insert.DocValidation.Nested.JSONSchema                   2    2833.14
Insert.DocValidation.Nested.JSONSchema                   4    4631.92
Update.DocValidation.OneNum.Compare                      1    1325.47
Update.DocValidation.OneNum.Compare                      2    3290.65
Update.DocValidation.OneNum.Compare                      4    5673.25
Update.DocValidation.OneNum                              1    1577.67
Update.DocValidation.OneNum                              2    3374.26
Update.DocValidation.OneNum                              4    5636.87
Update.DocValidation.OneNum.JSONSchema                   1    1666.24
Update.DocValidation.OneNum.JSONSchema                   2    3334.53
Update.DocValidation.OneNum.JSONSchema                   4    5269.69
Update.DocValidation.TenNum.Compare                      1    1599.24
Update.DocValidation.TenNum.Compare                      2    3165.92
Update.DocValidation.TenNum.Compare                      4    5022.17
Update.DocValidation.TenNum                              1    1587.54
Update.DocValidation.TenNum                              2    3031.4
