test_name                                      num_threads    ops_per_sec
-------------------------------------------  -------------  -------------
Insert.SingleIndex.Seq                                   1    1968.87
Insert.SingleIndex.Seq                                   2    3540.04
Insert.SingleIndex.Seq                                   4    6195.9
Insert.SingleIndex.Uncontested.Rnd                       1    1839.1
Insert.SingleIndex.Uncontested.Rnd                       2    3412.73
Insert.SingleIndex.Uncontested.Rnd                       4    5876.87
Insert.SingleIndex.Contested.Rnd                         1    1981.96
Insert.SingleIndex.Contested.Rnd                         2    3316.9
Insert.SingleIndex.Contested.Rnd                         4    6269.92
Insert.MultiIndex.Uncontested.Rnd                        1    1911.07
Insert.MultiIndex.Uncontested.Rnd                        2    3292.01
Insert.MultiIndex.Uncontested.Rnd                        4    6110.74
Insert.MultiIndex.Contested.Rnd                          1    1944.87
Insert.MultiIndex.Contested.Rnd                          2    3454.17
Insert.MultiIndex.Contested.Rnd                          4    5264.26
Insert.MultiKeyIndex.Uncontested.Rnd                     1    1861.13
Insert.MultiKeyIndex.Uncontested.Rnd                     2    3396.04
Insert.MultiKeyIndex.Uncontested.Rnd                     4    5471.87
Insert.MultiKeyIndex.Contested.Rnd                       1    1501.98
Insert.MultiKeyIndex.Contested.Rnd                       2    2564.28
Insert.MultiKeyIndex.Contested.Rnd                       4    5986.16
Insert.BigKeyIndex                                       1     537.438
Insert.BigKeyIndex                                       2     448.401
Insert.BigKeyIndex                                       4     869.512
Update.SetWithIndex.Random                               1    1598.94
Update.SetWithIndex.Random                               2    2932.82
Update.SetWithIndex.Random                               4    5954.17
Update.SetWithMultiIndex.Random                          1    1760.2
Update.SetWithMultiIndex.Random                          2    2540.54
Update.SetWithMultiIndex.Random                          4    5325.63
Update.SetWithMultiIndex.String                          1    1294.86
Update.SetWithMultiIndex.String                          2    2582.05
Update.SetWithMultiIndex.String                          4    4601.83
Insert.DocValidation.OneInt.Compare                      1    1880.68
Insert.DocValidation.OneInt.Compare                      2    3523.3
Insert.DocValidation.OneInt.Compare                      4    6018.17
Insert.DocValidation.OneInt                              1    1821.56
Insert.DocValidation.OneInt                              2    3393.66
Insert.DocValidation.OneInt                              4    6173.03
Insert.DocValidation.OneInt.JSONSchema                   1    1962.29
Insert.DocValidation.OneInt.JSONSchema                   2    3324.36
Insert.DocValidation.OneInt.JSONSchema                   4    5544.23
Insert.DocValidation.TenInt.Compare                      1    1811.34
Insert.DocValidation.TenInt.Compare                      2    3035.41
Insert.DocValidation.TenInt.Compare                      4    5365.52
Insert.DocValidation.TenInt                              1    1490.46
Insert.DocValidation.TenInt                              2    2832.54
Insert.DocValidation.TenInt                              4    5078.46
Insert.DocValidation.TwentyInt.Compare                   1    1241.98
Insert.DocValidation.TwentyInt.Compare                   2    3105.66
Insert.DocValidation.TwentyInt.Compare                   4    5668
Insert.DocValidation.TwentyInt                           1    1654.39
Insert.DocValidation.TwentyInt                           2    3176.41
Insert.DocValidation.TwentyInt                           4    5304.65
Insert.DocValidation.TwentyInt.JSONSchema                1    1768.75
Insert.DocValidation.TwentyInt.JSONSchema                2    3326.49
Insert.DocValidation.TwentyInt.JSONSchema                4    5251.54
Insert.DocValidation.OneFiftyInt.Compare                 1    1250.54
