test_name                                      num_threads    ops_per_sec
-------------------------------------------  -------------  -------------
Insert.SingleIndex.Seq                                   1    1523.49
Insert.SingleIndex.Seq                                   2    2810.63
Insert.SingleIndex.Seq                                   4    5245.3
Insert.SingleIndex.Uncontested.Rnd                       1    1450.91
Insert.SingleIndex.Uncontested.Rnd                       2    2830.33
Insert.SingleIndex.Uncontested.Rnd                       4    5200.58
Insert.SingleIndex.Contested.Rnd                         1    1357.01
Insert.SingleIndex.Contested.Rnd                         2    2924.5
Insert.SingleIndex.Contested.Rnd                         4    4796.95
Insert.MultiIndex.Uncontested.Rnd                        1    1289.88
Insert.MultiIndex.Uncontested.Rnd                        2    2568.68
Insert.MultiIndex.Uncontested.Rnd                        4    4429.97
Insert.MultiIndex.Contested.Rnd                          1    1255.59
Insert.MultiIndex.Contested.Rnd                          2    2501.67
Insert.MultiIndex.Contested.Rnd                          4    4704.13
Insert.MultiKeyIndex.Uncontested.Rnd                     1    1230.16
Insert.MultiKeyIndex.Uncontested.Rnd                     2    2463.66
Insert.MultiKeyIndex.Uncontested.Rnd                     4    4444.45
Insert.MultiKeyIndex.Contested.Rnd                       1    1202.82
Insert.MultiKeyIndex.Contested.Rnd                       2    2585.79
Insert.MultiKeyIndex.Contested.Rnd                       4    4323.27
Insert.BigKeyIndex                                       1     447.49
Insert.BigKeyIndex                                       2     691.154
Insert.BigKeyIndex                                       4    1143.28
Update.SetWithIndex.Random                               1    1323.22
Update.SetWithIndex.Random                               2    2752.59
Update.SetWithIndex.Random                               4    4404.24
Update.SetWithMultiIndex.Random                          1    1284.42
Update.SetWithMultiIndex.Random                          2    2560.67
Update.SetWithMultiIndex.Random                          4    4157.97
Update.SetWithMultiIndex.String                          1    1087.35
Update.SetWithMultiIndex.String                          2    1948.99
Update.SetWithMultiIndex.String                          4    3367.21
Insert.DocValidation.OneInt.Compare                      1    1347.76
Insert.DocValidation.OneInt.Compare                      2    2694.1
Insert.DocValidation.OneInt.Compare                      4    5293.74
Insert.DocValidation.OneInt                              1    1273.25
Insert.DocValidation.OneInt                              2    2767.04
Insert.DocValidation.OneInt                              4    4875.77
Insert.DocValidation.OneInt.JSONSchema                   1    1328.85
Insert.DocValidation.OneInt.JSONSchema                   2    2706.66
Insert.DocValidation.OneInt.JSONSchema                   4    4598.9
Insert.DocValidation.TenInt.Compare                      1    1492.26
Insert.DocValidation.TenInt.Compare                      2    2675.84
Insert.DocValidation.TenInt.Compare                      4    5277.95
Insert.DocValidation.TenInt                              1    1312.94
Insert.DocValidation.TenInt                              2    2770.36
Insert.DocValidation.TenInt                              4    5086.08
Insert.DocValidation.TwentyInt.Compare                   1    1360.4
Insert.DocValidation.TwentyInt.Compare                   2    2778.12
Insert.DocValidation.TwentyInt.Compare                   4    4299.45
Insert.DocValidation.TwentyInt                           1    1474.18
Insert.DocValidation.TwentyInt                           2    2610.37
Insert.DocValidation.TwentyInt                           4    4650.01
Insert.DocValidation.TwentyInt.JSONSchema                1    1440.99
Insert.DocValidation.TwentyInt.JSONSchema                2    2532.54
Insert.DocValidation.TwentyInt.JSONSchema                4    4876.89
Insert.DocValidation.OneFiftyInt.Compare                 1     987.371
Insert.DocValidation.OneFiftyInt.Compare                 2    1935.19
Insert.DocValidation.OneFiftyInt.Compare                 4    3316.73
Insert.DocValidation.OneFiftyInt                         1     744.384
Insert.DocValidation.OneFiftyInt                         2    1450.54
Insert.DocValidation.OneFiftyInt                         4    2419.37
Insert.DocValidation.OneFiftyInt.JSONSchema              1     773.049
Insert.DocValidation.OneFiftyInt.JSONSchema              2    1365.82
Insert.DocValidation.OneFiftyInt.JSONSchema              4    2576.22
Insert.DocValidation.Variety.Compare                     1    1420.77
Insert.DocValidation.Variety.Compare                     2    2721.98
Insert.DocValidation.Variety.Compare                     4    5112.26
Insert.DocValidation.Variety.JSONSchema                  1    1283.74
Insert.DocValidation.Variety.JSONSchema                  2    2768.82
Insert.DocValidation.Variety.JSONSchema                  4    4542.92
Insert.DocValidation.Array.Compare                       1    1322.22
Insert.DocValidation.Array.Compare                       2    2690.71
Insert.DocValidation.Array.Compare                       4    4241.89
Insert.DocValidation.Array.JSONSchema                    1    1235.58
Insert.DocValidation.Array.JSONSchema                    2    2295.51
Insert.DocValidation.Array.JSONSchema                    4    4126.41
Insert.DocValidation.Nested.Compare                      1    1398.8
Insert.DocValidation.Nested.Compare                      2    2837.93
Insert.DocValidation.Nested.Compare                      4    4938.64
Insert.DocValidation.Nested.JSONSchema                   1    1278.75
Insert.DocValidation.Nested.JSONSchema                   2    2782.84
Insert.DocValidation.Nested.JSONSchema                   4    4258.8
