test_name                                      num_threads    ops_per_sec
-------------------------------------------  -------------  -------------
Insert.SingleIndex.Seq                                   1    1848.4
Insert.SingleIndex.Seq                                   2    3496.68
Insert.SingleIndex.Seq                                   4    6473.84
Insert.SingleIndex.Uncontested.Rnd                       1    1723.06
Insert.SingleIndex.Uncontested.Rnd                       2    3423.56
Insert.SingleIndex.Uncontested.Rnd                       4    5593.34
Insert.SingleIndex.Contested.Rnd                         1    1763.39
Insert.SingleIndex.Contested.Rnd                         2    3489.03
Insert.SingleIndex.Contested.Rnd                         4    6131.48
Insert.MultiIndex.Uncontested.Rnd                        1    1770.82
Insert.MultiIndex.Uncontested.Rnd                        2    3277.66
Insert.MultiIndex.Uncontested.Rnd                        4    6190.8
Insert.MultiIndex.Contested.Rnd                          1    1681.76
Insert.MultiIndex.Contested.Rnd                          2    3432.42
Insert.MultiIndex.Contested.Rnd                          4    5918.16
Insert.MultiKeyIndex.Uncontested.Rnd                     1    1715.43
Insert.MultiKeyIndex.Uncontested.Rnd                     2    3316.53
Insert.MultiKeyIndex.Uncontested.Rnd                     4    5796.74
Insert.MultiKeyIndex.Contested.Rnd                       1    1793.15
Insert.MultiKeyIndex.Contested.Rnd                       2    3273.23
Insert.MultiKeyIndex.Contested.Rnd                       4    5949.72
Insert.BigKeyIndex                                       1     571.33
Insert.BigKeyIndex                                       2    1020.82
Insert.BigKeyIndex                                       4    1637.26
Update.SetWithIndex.Random                               1    1610.05
Update.SetWithIndex.Random                               2    3185.81
Update.SetWithIndex.Random                               4    5523.14
Update.SetWithMultiIndex.Random                          1    1594.15
Update.SetWithMultiIndex.Random                          2    3151.84
Update.SetWithMultiIndex.Random                          4    5212.03
Update.SetWithMultiIndex.String                          1    1307.01
Update.SetWithMultiIndex.String                          2    2367.38
Update.SetWithMultiIndex.String                          4    4280.59
Insert.DocValidation.OneInt.Compare                      1    1876.94
Insert.DocValidation.OneInt.Compare                      2    3449.87
Insert.DocValidation.OneInt.Compare                      4    6782.3
Insert.DocValidation.OneInt                              1    1786.98
Insert.DocValidation.OneInt                              2    3599.39
Insert.DocValidation.OneInt                              4    6455.27
Insert.DocValidation.OneInt.JSONSchema                   1    1861.07
Insert.DocValidation.OneInt.JSONSchema                   2    3543.53
Insert.DocValidation.OneInt.JSONSchema                   4    6084.02
Insert.DocValidation.TenInt.Compare                      1    1855.28
Insert.DocValidation.TenInt.Compare                      2    3460.71
Insert.DocValidation.TenInt.Compare                      4    6349.35
Insert.DocValidation.TenInt                              1    1735.74
Insert.DocValidation.TenInt                              2    3384.04
Insert.DocValidation.TenInt                              4    6237.94
Insert.DocValidation.TwentyInt.Compare                   1    1694.07
Insert.DocValidation.TwentyInt.Compare                   2    3442.49
Insert.DocValidation.TwentyInt.Compare                   4    5797.02
Insert.DocValidation.TwentyInt                           1    1697.16
